State,Date,Area
Western Australia,2020-02,0.870593068
Western Australia,2020-01,0.652944801
Western Australia,2019-12,0.435296534
Western Australia,2019-11,0.217648267
Victoria,2020-02,6.734800654
Victoria,2020-01,6.629741827
Victoria,2019-12,6.339085665
Victoria,2019-11,4.340580539
Tasmania,2020-02,0.526308095
Tasmania,2020-01,0.321632725
Tasmania,2019-12,0.01900557
Tasmania,2019-11,0.00000001
South Australia,2020-02,0.28327954
South Australia,2020-01,0.21486893
South Australia,2019-12,0.069083155
South Australia,2019-11,0.005079644
Queensland,2020-02,1.445302247
Queensland,2020-01,1.445302247
Queensland,2019-12,0.696595215
Queensland,2019-11,0.020812352
Northern Territory,2020-02,5.045292631
Northern Territory,2020-01,3.783969473
Northern Territory,2019-12,2.522646315
Northern Territory,2019-11,1.261323158
New South Wales,2020-02,6.890095488
New South Wales,2020-01,4.931143981
New South Wales,2019-12,3.512165013
New South Wales,2019-11,1.418978968
Australian Capital Territory,2020-02,36.66836302
Australian Capital Territory,2020-01,9.126378287
Australian Capital Territory,2019-12,0.00000001
Australian Capital Territory,2019-11,0.00000001
