Rainfall,Year,Month,Area
35.0375,2019,November,Australia
21.6875,2019,December,Australia
101.3375,2020,January,Australia
150.0125,2020,February,Australia
107.8625,2020,March,Australia
70.875,2020,April,Australia
50.7625,2020,May,Australia
59.85,2020,June,Australia
48.5375,2020,July,Australia
65.3875,2020,August,Australia
46.55,2020,September,Australia
95.4875,2020,October,Australia
50.975,2020,November,Australia
103.525,2020,December,Australia
140.4125,2021,January,Australia
94.0375,2021,February,Australia
143.625,2021,March,Australia
45.6125,2021,April,Australia
59.1375,2021,May,Australia
66.75,2021,June,Australia
69.675,2021,July,Australia
44.0375,2021,August,Australia
54.5,2021,September,Australia
91.0625,2021,October,Australia
112.1875,2021,November,Australia
122.925,2021,December,Australia
116.3625,2022,January,Australia
245.1,2022,February,Australia
134.65,2022,March,Australia
89.5375,2022,April,Australia
112.9625,2022,May,Australia
35.65,2022,June,Australia
88.025,2022,July,Australia
76.8125,2022,August,Australia
68.6875,2022,September,Australia
127.675,2022,October,Australia
95.45,2022,November,Australia
112.3125,2022,December,Australia
82.0875,2023,January,Australia
105.5375,2023,February,Australia
66.825,2023,March,Australia
67.1875,2023,April,Australia
48.425,2023,May,Australia
59.4875,2023,June,Australia
35.075,2023,July,Australia
32.2625,2023,August,Australia
23.475,2023,September,Australia
29.4375,2023,October,Australia
75.9875,2023,November,Australia
99.9875,2023,December,Australia
39.1,2000,January,Australian Capital Territory
13.8,2000,February,Australian Capital Territory
39.6,2000,March,Australian Capital Territory
71.4,2000,April,Australian Capital Territory
73.4,2000,May,Australian Capital Territory
29,2000,June,Australian Capital Territory
31.9,2000,July,Australian Capital Territory
82.6,2000,August,Australian Capital Territory
86.5,2000,September,Australian Capital Territory
80.6,2000,October,Australian Capital Territory
153,2000,November,Australian Capital Territory
20.4,2000,December,Australian Capital Territory
48.6,2001,January,Australian Capital Territory
112.2,2001,February,Australian Capital Territory
61.2,2001,March,Australian Capital Territory
10.2,2001,April,Australian Capital Territory
2,2001,May,Australian Capital Territory
42,2001,June,Australian Capital Territory
59,2001,July,Australian Capital Territory
69.6,2001,August,Australian Capital Territory
55,2001,September,Australian Capital Territory
67.4,2001,October,Australian Capital Territory
36,2001,November,Australian Capital Territory
18.4,2001,December,Australian Capital Territory
39.6,2002,January,Australian Capital Territory
214,2002,February,Australian Capital Territory
27,2002,March,Australian Capital Territory
15.6,2002,April,Australian Capital Territory
29.8,2002,May,Australian Capital Territory
49.7,2002,June,Australian Capital Territory
19.6,2002,July,Australian Capital Territory
22.4,2002,August,Australian Capital Territory
66.4,2002,September,Australian Capital Territory
11.1,2002,October,Australian Capital Territory
10.1,2002,November,Australian Capital Territory
20.2,2002,December,Australian Capital Territory
12.8,2003,January,Australian Capital Territory
71.7,2003,February,Australian Capital Territory
58.6,2003,March,Australian Capital Territory
17.2,2003,April,Australian Capital Territory
20.2,2003,May,Australian Capital Territory
47.8,2003,June,Australian Capital Territory
41.8,2003,July,Australian Capital Territory
99.9,2003,August,Australian Capital Territory
42.6,2003,September,Australian Capital Territory
61.1,2003,October,Australian Capital Territory
107.4,2003,November,Australian Capital Territory
92.4,2003,December,Australian Capital Territory
52.1,2004,January,Australian Capital Territory
23.8,2004,February,Australian Capital Territory
7.6,2004,March,Australian Capital Territory
1.4,2004,April,Australian Capital Territory
12.8,2004,May,Australian Capital Territory
20.4,2004,June,Australian Capital Territory
13.8,2004,July,Australian Capital Territory
76.4,2004,August,Australian Capital Territory
48.4,2004,September,Australian Capital Territory
68.2,2004,October,Australian Capital Territory
100.6,2004,November,Australian Capital Territory
96.8,2004,December,Australian Capital Territory
53.4,2005,January,Australian Capital Territory
60.4,2005,February,Australian Capital Territory
55,2005,March,Australian Capital Territory
